time	 ADC val	
0.00	515	
0.01	537	
0.01	514	
0.02	530	
0.02	528	
0.03	515	
0.03	537	
0.04	517	
0.04	530	
0.05	534	
0.05	521	
0.06	545	
0.06	527	
0.07	545	
0.07	544	
0.08	541	
0.08	564	
0.09	550	
0.09	569	
0.10	577	
0.10	572	
0.11	601	
0.11	583	
0.12	603	
0.12	607	
0.13	602	
0.13	623	
0.14	603	
0.14	617	
0.15	614	
0.15	598	
0.16	615	
0.16	583	
0.17	592	
0.17	580	
0.18	558	
0.18	572	
0.19	534	
0.19	544	
0.20	534	
0.20	518	
0.21	537	
0.21	510	
0.22	527	
0.22	526	
0.23	519	
0.23	543	
0.24	526	
0.24	548	
0.25	559	
0.25	560	
0.26	586	
0.26	576	
0.27	600	
0.27	604	
0.28	600	
0.28	622	
0.29	593	
0.29	608	
0.30	594	
0.30	576	
0.31	590	
0.31	548	
0.32	559	
0.32	544	
0.33	525	
0.33	543	
0.34	516	
0.34	532	
0.35	532	
0.35	524	
0.36	548	
0.36	537	
0.37	559	
0.37	569	
0.38	571	
0.38	600	
0.39	591	
0.39	609	
0.40	611	
0.40	601	
0.41	621	
0.41	592	
0.42	601	
0.42	589	
0.43	564	
0.43	576	
0.44	538	
0.44	545	
0.45	534	
0.45	517	
0.46	536	
0.46	512	
0.47	529	
0.47	532	
0.48	527	
0.48	552	
0.49	542	
0.49	567	
0.50	578	
0.50	579	
0.51	612	
0.51	596	
0.52	613	
0.52	609	
0.53	595	
0.53	611	
0.54	577	
0.54	582	
0.55	568	
0.55	543	
0.56	558	
0.56	523	
0.57	533	
0.57	528	
0.58	517	
0.58	543	
0.59	523	
0.59	541	
0.60	552	
0.60	552	
0.61	580	
0.61	574	
0.62	595	
0.62	602	
0.63	599	
0.63	622	
0.64	600	
0.64	610	
0.65	602	
0.65	579	
0.66	591	
0.66	555	
0.67	558	
0.67	548	
0.68	526	
0.68	544	
0.69	513	
0.69	526	
0.70	526	
0.70	517	
0.71	546	
0.71	527	
0.72	551	
0.72	562	
0.73	563	
0.73	595	
0.74	585	
0.74	606	
0.75	610	
0.75	599	
0.76	618	
0.76	588	
0.77	598	
0.77	586	
0.78	561	
0.78	575	
0.79	536	
0.79	542	
0.80	534	
0.80	518	
0.81	542	
0.81	518	
0.82	533	
0.82	541	
0.83	537	
0.83	567	
0.84	560	
0.84	577	
0.85	593	
0.85	591	
0.86	620	
0.86	602	
0.87	614	
0.87	607	
0.88	591	
0.88	608	
0.89	570	
0.89	572	
0.90	563	
0.90	537	
0.91	552	
0.91	521	
0.92	530	
0.92	526	
0.93	514	
0.93	539	
0.94	521	
0.94	539	
0.95	548	
0.95	548	
0.96	581	
0.96	570	
0.97	593	
0.97	602	
0.98	597	
0.98	621	
0.99	596	
0.99	606	
1.00	598	
1.00	576	
1.01	587	
1.01	551	
1.02	553	
1.02	544	
1.03	522	
1.03	544	
1.04	514	
1.04	532	
1.05	534	
1.05	527	
1.06	555	
1.06	542	
1.07	565	
1.07	575	
1.08	578	
1.08	607	
1.09	594	
1.09	613	
1.10	614	
1.10	601	
1.11	617	
1.11	588	
1.12	589	
1.12	579	
1.13	554	
1.13	567	
1.14	531	
1.14	536	
1.15	531	
1.15	513	
1.16	538	
1.16	514	
1.17	532	
1.17	535	
1.18	532	
1.18	563	
1.19	552	
1.19	575	
1.20	587	
1.20	585	
1.21	615	
1.21	598	
1.22	610	
1.22	610	
1.23	591	
1.23	609	
1.24	570	
1.24	571	
1.25	562	
1.25	535	
1.26	553	
1.26	520	
1.27	531	
1.27	532	
1.28	518	
1.28	543	
1.29	529	
1.29	548	
1.30	560	
1.30	558	
1.31	589	
1.31	582	
1.32	601	
1.32	607	
1.33	602	
1.33	625	
1.34	600	
1.34	607	
1.35	597	
1.35	572	
1.36	584	
1.36	546	
1.37	549	
1.37	542	
1.38	520	
1.38	541	
1.39	513	
1.39	525	
1.40	532	
1.40	520	
1.41	545	
1.41	534	
1.42	557	
1.42	571	
1.43	568	
1.43	601	
1.44	589	
1.44	602	
1.45	610	
1.45	599	
1.46	618	
1.46	584	
1.47	591	
1.47	579	
1.48	551	
1.48	565	
1.49	531	
1.49	535	
1.50	533	
1.50	517	
1.51	543	
1.51	519	
1.52	535	
1.52	544	
1.53	542	
1.53	574	
1.54	565	
1.54	586	
1.55	600	
1.55	595	
1.56	620	
1.56	602	
1.57	613	
1.57	610	
1.58	589	
1.58	601	
1.59	564	
1.59	567	
1.60	556	
1.60	531	
1.61	549	
1.61	517	
1.62	524	
1.62	528	
1.63	512	
1.63	540	
1.64	524	
1.64	541	
1.65	555	
1.65	551	
1.66	584	
1.66	574	
1.67	596	
1.67	604	
1.68	598	
1.68	619	
1.69	597	
1.69	603	
1.70	597	
1.70	570	
1.71	581	
1.71	545	
1.72	547	
1.72	544	
1.73	520	
1.73	540	
1.74	516	
1.74	530	
1.75	535	
1.75	529	
1.76	557	
1.76	546	
1.77	567	
1.77	580	
1.78	583	
1.78	607	
1.79	597	
1.79	615	
1.80	613	
1.80	598	
1.81	617	
1.81	583	
1.82	583	
1.82	579	
1.83	547	
1.83	562	
1.84	526	
1.84	533	
1.85	531	
1.85	514	
1.86	537	
1.86	516	
1.87	532	
1.87	543	
1.88	533	
1.88	567	
1.89	556	
